"Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000020377","ENSMUSG00000020377","Ltc4s","ENSMUSG00000020377","17001","protein_coding",2156,-3.93764324433333,4.17797072283333,-26.7435026292018,5.62813290583751e-07,0.010301734470845,6.09487096902242
"ENSMUSG00000044628","ENSMUSG00000044628","Rnf208","ENSMUSG00000044628","68846","protein_coding",1334,-1.82455595866667,2.83664749066667,-20.3909698950389,2.42448096977647e-06,0.01133669258531,5.24986465010385
"ENSMUSG00000073468","ENSMUSG00000073468","Sft2d1","ENSMUSG00000073468","106489","protein_coding",16341,2.50935588966667,3.18969254183333,20.0274085096729,2.67040582735931e-06,0.01133669258531,5.18585788451973
"ENSMUSG00000022296","ENSMUSG00000022296","Baalc","ENSMUSG00000022296","118452","protein_coding",75524,-1.476766625,2.65292293983333,-19.0930604159451,3.45079769791868e-06,0.01133669258531,5.01121142716765
"ENSMUSG00000017412","ENSMUSG00000017412","Cacnb4","ENSMUSG00000017412","12298","protein_coding",248507,1.87146544666667,3.061101941,18.7285647233288,3.82650102298042e-06,0.01133669258531,4.93885873234559
"ENSMUSG00000023935","ENSMUSG00000023935","Spats1","ENSMUSG00000023935","71020","protein_coding",34838,1.54668797,2.69820992133333,18.5042010548399,4.08181980243026e-06,0.01133669258531,4.89307333635965
"ENSMUSG00000007783","ENSMUSG00000007783","Cpt1c","ENSMUSG00000007783","78070","protein_coding",15480,-2.87355370466667,3.468685971,-17.9467762750955,4.80846171740676e-06,0.01133669258531,4.77501200321025
"ENSMUSG00000005718","ENSMUSG00000005718","Tfap4","ENSMUSG00000005718","83383","protein_coding",15194,-1.717553505,2.93032174216667,-17.590959112351,5.35248994610594e-06,0.01133669258531,4.69629017157588
"ENSMUSG00000041801","ENSMUSG00000041801","Phlda3","ENSMUSG00000041801","27280","protein_coding",3018,-3.36135358866667,8.17699000833333,-17.4580165311106,5.57420417765463e-06,0.01133669258531,4.66617724635896
"ENSMUSG00000042523","ENSMUSG00000042523","Dnal1","ENSMUSG00000042523","105000","protein_coding",33133,1.85334318533333,2.89334708133333,16.4055105290391,7.77157319974724e-06,0.0125648400741825,4.41345586480831
"ENSMUSG00000015966","ENSMUSG00000015966","Il17rb","ENSMUSG00000015966","50905","protein_coding",12762,-2.48819313466667,3.46041548433333,-16.4024133213462,7.77941115304053e-06,0.0125648400741825,4.41267280612347
"ENSMUSG00000054640","ENSMUSG00000054640","Slc8a1","ENSMUSG00000054640","20541","protein_coding",365273,-1.40934025733333,2.64320179,-16.2138591642332,8.27465509737082e-06,0.0125648400741825,4.3645432967324
"ENSMUSG00000074825","ENSMUSG00000074825","Itpripl1","ENSMUSG00000074825","73338","protein_coding",4671,-1.86255132433333,3.1824109295,-15.9859330193443,8.92389209814098e-06,0.0125648400741825,4.30513987850117
"ENSMUSG00000053461","ENSMUSG00000053461","Hhipl2","ENSMUSG00000053461","78772","protein_coding",18571,-1.638357059,2.7964450455,-15.291020795901,1.13090351109181e-05,0.0126142114263633,4.1153623441538
"ENSMUSG00000000435","ENSMUSG00000000435","Myf5","ENSMUSG00000000435","17877","protein_coding",3227,2.46945470866667,3.18997546433333,14.9771390211457,1.26291179058952e-05,0.0126142114263633,4.02513330302335
"ENSMUSG00000006488","ENSMUSG00000006488","Prl7a1","ENSMUSG00000006488","19113","protein_coding",9128,1.775893149,3.16436250583333,14.8675348509524,1.31323711804902e-05,0.0126142114263633,3.99293301969818
"ENSMUSG00000051136","ENSMUSG00000051136","Ghsr","ENSMUSG00000051136","208188","protein_coding",6660,-1.20971524866667,2.640217897,-14.846299152505,1.3232593185003e-05,0.0126142114263633,3.98665194401226
"ENSMUSG00000046643","ENSMUSG00000046643","Or10j3","ENSMUSG00000046643","258880","protein_coding",8529,-2.28609438133333,3.12871848766667,-14.7612801344568,1.36429897048869e-05,0.0126142114263633,3.96136625959747
"ENSMUSG00000048027","ENSMUSG00000048027","Rgmb","ENSMUSG00000048027","68799","protein_coding",27852,2.45648581133333,3.478306353,14.7369826719519,1.3763024063359e-05,0.0126142114263633,3.95409884641901
"ENSMUSG00000073947","ENSMUSG00000073947","Or51ah3","ENSMUSG00000073947","259084","protein_coding",7720,-1.80172650133333,3.50026991433333,-14.490954404456,1.50514056164116e-05,0.0126142114263633,3.87946727836301
"ENSMUSG00000028280","ENSMUSG00000028280","Gabrr1","ENSMUSG00000028280","14408","protein_coding",31068,1.40378523666667,6.676864015,14.1352553829435,1.71749076306256e-05,0.0126142114263633,3.76811338686158
